Pattern,Components,Score,PrimeProduct
Flush: 98654,"ranks=9,8,6,5,4",1557,124355
Flush: AJ543,"ranks=A,J,5,4,3",687,124845
Flush: T9762,"ranks=T,9,7,6,2",1496,124982
Flush: KQ642,"ranks=K,Q,6,4,2",929,126170
Flush: JT942,"ranks=J,T,9,4,2",1372,126730
Flush: A8752,"ranks=A,8,7,5,2",788,126854
Flush: J9653,"ranks=J,9,6,5,3",1435,127281
Flush: K9752,"ranks=K,9,7,5,2",1096,127946
Flush: A9643,"ranks=A,9,6,4,3",775,128535
Flush: AQ832,"ranks=A,Q,8,3,2",586,129642
Flush: QT752,"ranks=Q,T,7,5,2",1270,129766
Flush: JT743,"ranks=J,T,7,4,3",1396,130065
Flush: KQ932,"ranks=K,Q,9,3,2",899,130758
Flush: AJ642,"ranks=A,J,6,4,2",685,130790
Flush: KT652,"ranks=K,T,6,5,2",1067,131054
Flush: J9852,"ranks=J,9,8,5,2",1420,131138
Flush: A9842,"ranks=A,9,8,4,2",760,132430
Flush: AQ543,"ranks=A,Q,5,4,3",603,133455
Flush: J8753,"ranks=J,8,7,5,3",1449,134589
Flush: QT942,"ranks=Q,T,9,4,2",1247,135470
Flush: AJ932,"ranks=A,J,9,3,2",655,135546
Flush: A8743,"ranks=A,8,7,4,3",789,135915
Flush: Q9653,"ranks=Q,9,6,5,3",1310,136059
Flush: K9743,"ranks=K,9,7,4,3",1097,137085
Flush: QJ652,"ranks=Q,J,6,5,2",1220,138446
Flush: 98763,"ranks=9,8,7,6,3",1549,138567
Flush: QT743,"ranks=Q,T,7,4,3",1271,139035
Flush: KJ742,"ranks=K,J,7,4,2",1007,139490
Flush: AQ642,"ranks=A,Q,6,4,2",601,139810
Flush: Q9852,"ranks=Q,9,8,5,2",1295,140182
Flush: KT643,"ranks=K,T,6,4,3",1068,140415
Flush: J9843,"ranks=J,9,8,4,3",1421,140505
Flush: J8762,"ranks=J,8,7,6,2",1447,140998
Flush: A9752,"ranks=A,9,7,5,2",768,141778
Flush: Q8753,"ranks=Q,8,7,5,3",1324,143871
Flush: KT842,"ranks=K,T,8,4,2",1053,144670
Flush: AQ932,"ranks=A,Q,9,3,2",571,144894
Flush: J7654,"ranks=J,7,6,5,4",1464,145145
Flush: AT652,"ranks=A,T,6,5,2",739,145222
Flush: K8653,"ranks=K,8,6,5,3",1121,145299
Flush: 98754,"ranks=9,8,7,5,4",1551,146965
Flush: KJT32,"ranks=K,J,T,3,2",962,148074
Flush: QJ643,"ranks=Q,J,6,4,3",1221,148335
Flush: KQ742,"ranks=K,Q,7,4,2",923,149110
Flush: Q9843,"ranks=Q,9,8,4,3",1296,150195
Flush: J9753,"ranks=J,9,7,5,3",1429,150423
Flush: T8654,"ranks=T,8,6,5,4",1523,150535
Flush: Q8762,"ranks=Q,8,7,6,2",1322,150722
Flush: A9743,"ranks=A,9,7,4,3",769,151905
